solicitud_id,laboratorio_id,fecha_reserva,hora_inicio,hora_fin,numero_participantes,estado
276ab37f-b14c-50dd-b669-c195f87dc133,706ea773-fd09-5587-a465-302616f9d571,2025-03-29,14:00:00,16:00:00,40,APROBADA
65e790ff-03b6-59c6-8070-922c07670c03,eb4139b4-3715-5623-a990-d045271440a9,2024-07-20,15:30:00,17:30:00,26,APROBADA
f55e4897-51a4-5e32-b35a-b7d01a1001e5,6d481120-dab0-50c8-8f1b-33cf911e9573,2024-10-18,08:30:00,11:30:00,42,APROBADA
1b492879-d028-5785-9dd8-63d02c3f6b2d,8fd4b53b-1d49-5307-8a1a-e184999a4434,2025-06-01,08:30:00,11:30:00,31,APROBADA
8a99ccfe-56d4-5f5a-b3b7-8d26da95b431,8fd4b53b-1d49-5307-8a1a-e184999a4434,2025-04-03,10:30:00,12:00:00,38,APROBADA
b766f71d-3802-59d5-ab35-a82e257c8364,2574a671-d58d-5db3-8c9f-2518d8a8d790,2024-08-30,09:00:00,10:00:00,26,APROBADA
96175281-4222-59b9-821a-72d08e44afdd,eb4139b4-3715-5623-a990-d045271440a9,2024-12-06,07:00:00,10:00:00,28,APROBADA
5fc4e331-77e3-5f27-8747-65ccf55188da,8fd4b53b-1d49-5307-8a1a-e184999a4434,2025-04-20,17:00:00,18:30:00,33,APROBADA
af6cb47b-31f8-5ef0-916d-eea8a794ea1a,b46607fb-d28f-5c06-a3a8-091cb9d995ec,2025-02-13,14:30:00,15:30:00,38,APROBADA
bf328099-c32a-5afa-b75b-a71824839a8f,a40fe9f0-87fa-5853-968f-5cedd5939e8a,2025-01-18,11:00:00,13:00:00,27,APROBADA
3e0cd2c2-3240-5f64-822e-c1eade677086,aad269e7-97f7-5e2d-9c43-cf84b49bd847,2025-02-10,15:30:00,17:30:00,27,APROBADA
607291d9-c3b1-558b-b758-e2710b6de6cd,e5da4cff-29aa-5f05-8532-70f093603e74,2024-11-07,18:00:00,19:30:00,28,APROBADA
32c4ba2c-14aa-5da4-9840-519958c4d9e9,ef815f08-b586-5f03-964a-a08004eaebf3,2024-07-31,14:00:00,16:00:00,33,APROBADA
0dc40101-6504-5cb8-b17d-11ad8a3c9372,0880d439-8834-59c1-bfce-e7f3da722b3f,2024-08-17,11:00:00,13:00:00,33,APROBADA
a16f494a-896d-5dd5-89b2-e739beea0b8c,1a0b71d7-4721-5998-bd82-de26b25b5771,2024-08-21,16:00:00,17:30:00,38,APROBADA
087dd176-1848-5af7-96e7-d77d94b44443,6d481120-dab0-50c8-8f1b-33cf911e9573,2024-08-19,08:30:00,09:30:00,45,APROBADA
9c556110-e2bd-59de-907f-7cdfbb5f1680,1dee66e3-0076-5033-8ba0-70dd67e8aea0,2025-04-03,08:30:00,10:00:00,35,APROBADA
76351593-ad31-5814-894e-54626f4c24a5,c1489a8f-1dff-511e-b025-5a10261901d7,2025-01-07,07:30:00,09:30:00,31,APROBADA
c741f2a3-62c3-5841-8193-00ce373bc8e0,6c814918-8ba0-52cc-9377-6d60b7946f8b,2025-02-04,10:30:00,11:30:00,35,APROBADA
f0b04157-8ea0-5281-8e53-c40f74139215,6c814918-8ba0-52cc-9377-6d60b7946f8b,2025-03-03,08:00:00,09:00:00,30,APROBADA
06d19bd3-a5de-5a46-940c-9061533a3dc7,706ea773-fd09-5587-a465-302616f9d571,2024-10-26,19:00:00,20:30:00,34,APROBADA
8a349502-3981-56bc-ac51-1b1335dc743a,b8969593-19a7-5a43-84c0-d52e63ac0cb4,2025-06-03,10:30:00,12:30:00,27,APROBADA
a472b478-b3b5-5679-96f4-dab14f9282de,8fd4b53b-1d49-5307-8a1a-e184999a4434,2024-07-14,14:00:00,16:00:00,33,APROBADA
021f2a76-9206-5b7f-9bd2-7d6ccc2cbeca,ef815f08-b586-5f03-964a-a08004eaebf3,2025-06-01,15:00:00,16:30:00,33,APROBADA
b377de56-8a8e-591c-854c-82e150b0d334,4b4a10f4-36fa-5109-bc5d-14e24370c164,2025-04-09,19:00:00,21:00:00,29,APROBADA
