laboratorio_id,cantidad_solicitudes,promedio_participantes,maximo_participantes
05a1191e-b84b-597d-b970-b04889cc30ee,12651,20.501146154454194,36
0880d439-8834-59c1-bfce-e7f3da722b3f,12752,24.9400878293601,45
10225e74-7c22-5384-8cdc-396a168ec651,12544,20.545519770408163,36
1a0b71d7-4721-5998-bd82-de26b25b5771,12429,25.04232037975702,45
1d025f29-c642-5117-addd-2d5acf5ceb88,12472,14.47490378447723,24
1dee66e3-0076-5033-8ba0-70dd67e8aea0,12661,24.84787931443014,45
23c254ed-4635-5cec-baa9-656efa7fd130,12370,18.564187550525464,32
2574a671-d58d-5db3-8c9f-2518d8a8d790,12631,22.466154698757027,40
2f4e9d31-6689-5b51-b0d8-2c5cf569fa9e,12526,12.540715312150727,20
45b00d8f-2f79-52ba-8b17-e7d6ee0b476f,12476,20.574783584482205,36
4b4a10f4-36fa-5109-bc5d-14e24370c164,12544,18.5289381377551,32
6903b35b-c2a6-5770-98e5-743c2bc06b45,12308,20.522424439389017,36
6c33ac3c-f870-5229-a33d-c01dc6c72c8d,12515,14.507630842988414,24
6c814918-8ba0-52cc-9377-6d60b7946f8b,12625,22.504554455445543,40
6d481120-dab0-50c8-8f1b-33cf911e9573,12486,25.08593624859843,45
706ea773-fd09-5587-a465-302616f9d571,12458,22.467972387221064,40
7bcb3d0c-2500-5f01-abe8-d24e962af50e,12638,18.464393100174078,32
7d424b25-0f98-5f10-b2a8-ed9ddcd33e7a,12339,22.35399951373693,40
870e2db8-bc1c-5469-823f-881da86d360d,12411,12.501571186850375,20
8a849cc5-eff1-56c6-b99f-f86d02b12517,12379,12.49834396962598,20
8fd4b53b-1d49-5307-8a1a-e184999a4434,12505,22.522910835665733,40
a22ee2bf-332c-5ac1-ae12-28ce7b0033a1,12559,20.317541205509993,36
a40fe9f0-87fa-5853-968f-5cedd5939e8a,12368,18.539294954721864,32
aad269e7-97f7-5e2d-9c43-cf84b49bd847,12409,17.407687968410023,30
aca81255-5756-5c47-8160-68e73d60335a,12563,12.477752129268486,20
b46607fb-d28f-5c06-a3a8-091cb9d995ec,12498,22.54368698991839,40
b8969593-19a7-5a43-84c0-d52e63ac0cb4,12607,17.48060601253272,30
c1489a8f-1dff-511e-b025-5a10261901d7,12505,18.613834466213515,32
d056b3a8-8204-507a-b6c1-1f1203a87651,12278,18.53738393875224,32
d76d770e-14c2-5fea-bf8b-28f95250e124,12486,22.494633990068877,40
d7ce39c6-be5b-537a-ae81-d449a1710ff2,12579,25.078941092296684,45
da1fe6a7-058c-5ad3-a10e-f529804a44b5,12694,20.408854576965496,36
dd609563-702d-543d-a49a-0ce27a83f234,12578,22.51248211162347,40
e2a92e74-055e-59c5-8f36-7e5665936ccb,12375,14.4690101010101,24
e5da4cff-29aa-5f05-8532-70f093603e74,12670,22.540015785319653,40
eb4139b4-3715-5623-a990-d045271440a9,12293,18.337834539982104,32
edd16813-3734-5d64-94e4-96368eeaa7e8,12447,14.491765083955974,24
ef815f08-b586-5f03-964a-a08004eaebf3,12470,20.419246190858058,36
f5e43a2a-032c-562e-837a-ff3c72abffb4,12517,17.383718143325076,30
f859156e-dfad-5881-91ea-185f82325790,12384,12.510416666666666,20
