solicitud_id,laboratorio_id,fecha_reserva,hora_inicio,hora_fin,numero_participantes,estado,duracion_minutos
a489ad40-2cef-5383-8046-4e7089606b6b,0880d439-8834-59c1-bfce-e7f3da722b3f,2024-01-02T00:00:00.000-05:00,11:00:00,14:00:00,45,RECHAZADA,180
3e9ead77-8580-5ff6-a7d7-adfaf12df3b0,1a0b71d7-4721-5998-bd82-de26b25b5771,2024-01-03T00:00:00.000-05:00,17:30:00,20:30:00,45,RECHAZADA,180
645a2749-efdf-5933-8f2f-6ea6471fdc3d,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-01-04T00:00:00.000-05:00,07:00:00,10:00:00,45,EXPIRADA,180
9b48f505-75d1-5a32-a82a-96226130dc71,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-01-05T00:00:00.000-05:00,15:00:00,18:00:00,45,PENDIENTE,180
06a6171b-8cf0-53fb-b4fb-e166152d93f1,6d481120-dab0-50c8-8f1b-33cf911e9573,2024-01-06T00:00:00.000-05:00,12:30:00,15:30:00,45,RECHAZADA,180
c9f2eaac-3349-5d6b-b93f-77eb52502cfc,1dee66e3-0076-5033-8ba0-70dd67e8aea0,2024-01-11T00:00:00.000-05:00,17:00:00,20:00:00,45,RECHAZADA,180
f1f89fa6-bbd4-5548-9071-5f3faca35272,1dee66e3-0076-5033-8ba0-70dd67e8aea0,2024-01-11T00:00:00.000-05:00,12:00:00,15:00:00,45,EN_REVISION,180
2266b59f-84b2-5e69-a3a5-d76e90b6f1c7,0880d439-8834-59c1-bfce-e7f3da722b3f,2024-01-12T00:00:00.000-05:00,08:00:00,11:00:00,45,PENDIENTE,180
ad87b330-f54d-56b9-a2ad-3ad71f04454c,1a0b71d7-4721-5998-bd82-de26b25b5771,2024-01-13T00:00:00.000-05:00,16:00:00,19:00:00,45,APROBADA,180
5c3c85bc-2faf-57c5-87b2-c922c840fd3a,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-01-14T00:00:00.000-05:00,11:30:00,14:30:00,45,EN_REVISION,180
a74ddca6-b35f-5d5a-86f4-139ef55eb192,1dee66e3-0076-5033-8ba0-70dd67e8aea0,2024-01-15T00:00:00.000-05:00,16:00:00,19:00:00,45,CANCELADA,180
67c0ac7a-72cc-5157-a9e1-9757abf259c4,6d481120-dab0-50c8-8f1b-33cf911e9573,2024-01-17T00:00:00.000-05:00,17:00:00,20:00:00,45,PENDIENTE,180
89b798ce-6352-5641-b886-afbcc637d043,1a0b71d7-4721-5998-bd82-de26b25b5771,2024-01-19T00:00:00.000-05:00,13:00:00,16:00:00,45,APROBADA,180
513c5028-cf5c-533c-ba83-6ed2f5fd3644,0880d439-8834-59c1-bfce-e7f3da722b3f,2024-01-26T00:00:00.000-05:00,18:00:00,21:00:00,45,CANCELADA,180
4976ed18-7927-53cd-b634-c98547a798d5,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-01-27T00:00:00.000-05:00,15:00:00,18:00:00,45,EN_REVISION,180
e03d7296-817e-5a9c-9d1f-fc218b404566,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-01-28T00:00:00.000-05:00,14:00:00,17:00:00,45,APROBADA,180
111f2fb2-f86b-5387-8ed6-a7e40b3adb7b,1dee66e3-0076-5033-8ba0-70dd67e8aea0,2024-01-29T00:00:00.000-05:00,17:30:00,20:30:00,45,APROBADA,180
5babb6d7-8c6e-569b-9592-15520f8fc655,6d481120-dab0-50c8-8f1b-33cf911e9573,2024-01-30T00:00:00.000-05:00,13:00:00,16:00:00,45,EN_REVISION,180
de48ac1d-7532-51f8-a343-acf0b0dc178c,1a0b71d7-4721-5998-bd82-de26b25b5771,2024-02-05T00:00:00.000-05:00,09:30:00,12:30:00,45,APROBADA,180
85074fe0-7d10-58b7-8916-726719f1446b,d7ce39c6-be5b-537a-ae81-d449a1710ff2,2024-02-06T00:00:00.000-05:00,09:00:00,12:00:00,45,PENDIENTE,180
